month,CENX(src),DLR(src),EQIX(src),ETN(src),MARA(src),SRE(src),VRT(src)
2025-07,21.18,171.48,768.24,381.48,16.09,79.39,145.48
2025-08,22.31,162.95,773.3,346.89,15.99,80.24,127.44
2025-09,29.38,169.15,770.37,371.96,18.26,87.45,150.68
2025-10,29.64,166.83,831.94,379.15,18.28,90.05,192.63
2025-11,29.93,156.78,746.25,344.45,11.81,92.65,179.57
2025-12,39.19,152.69,757.96,317.04,8.98,87.05,161.87
2026-01,45.31,163.79,812.08,350.02,9.51,85.79,186.11
2026-02,51.58,174.87,969.83,374.23,8.93,94.92,254.85
2026-03,58.68,179.05,975.34,357.03,8.15,96.47,250.49
2026-04,59.44,199.66,1077.98,432.34,11.99,94.49,328.29
2026-05,65.98,188.74,1067.71,400.75,14.39,88.36,315.91
2026-06,46.04,179.71,1041.85,426.0,13.9,92.69,334.58
2026-07,43.77,173.38,1001.9,398.67,12.38,93.06,300.5
