month,ASTS(src),GSAT(src),IRDM(src),LUNR(src),RKLB(src),SATS(src),VSAT(src)
2025-07,53.2,23.49,23.84,11.16,45.93,32.59,16.45
2025-08,48.92,29.95,24.28,8.77,48.62,61.8,32.3
2025-09,49.07,36.39,17.16,10.52,47.94,76.37,29.32
2025-10,80.3,54.37,18.83,11.94,62.98,74.87,39.82
2025-11,56.23,60.65,16.13,9.51,42.16,73.28,34.26
2025-12,72.64,60.95,17.22,16.21,69.76,108.75,34.46
2026-01,111.18,61.59,19.73,18.98,80.04,113.22,45.18
2026-02,79.19,62.19,23.71,16.48,69.14,115.52,45.81
2026-03,82.83,66.42,27.65,18.53,64.19,117.07,45.82
2026-04,74.02,82.34,38.95,25.34,82.51,123.21,65.95
2026-05,113.36,84.19,51.65,43.8,143.5,129.25,80.63
2026-06,88.82,81.28,54.85,21.38,101.58,103.94,89.81
